benchmark,primaryScore,noOfValues,CYCLE_ACTIVITY.STALLS_L2_MISS,CYCLE_ACTIVITY.CYCLES_L1D_MISS,CYCLE_ACTIVITY.STALLS_TOTAL,LLC-loads,CYCLE_ACTIVITY.CYCLES_L2_MISS,CYCLE_ACTIVITY.STALLS_L1D_MISS,L1-dcache-loads,L2_RQSTS.ALL_DEMAND_DATA_RD,LLC-load-misses,CYCLE_ACTIVITY.CYCLES_L3_MISS,CYCLE_ACTIVITY.STALLS_L3_MISS,
com.bhf.averages.CalculatingAveragesFori.testSimpleArrayAverageForI,8693905.117499482,128,0.03162375432986909,0.14046857477550137,131.7236856834565,0.002050166232502557,0.11306740932290352,0.06913220342481485,146.30109711602765,0.004966473872402869,2.289511776915487E-4,0.0523560543754029,0.04597794416541979,
com.bhf.averages.CalculatingAveragesFori.testSimpleArrayAverageForI,3476917.7167372396,256,0.26477230228455373,0.32885004163222137,460.6579224982849,0.008321985857598758,0.38385335798280706,0.3097556112395319,274.56673733167435,0.012169323783149773,7.183523290639324E-4,0.23936473712413261,0.19429833896901838,
com.bhf.averages.CalculatingAveragesFori.testSimpleArrayAverageForI,1627474.9950066325,512,0.3013294179253995,0.5171747084635756,1072.9304314389117,0.016428300530421356,0.4167069485635202,0.3859148094025341,529.7836660727888,0.033959531894494556,0.0010802284559624368,0.2739327703177705,0.04565378591737558,
com.bhf.averages.CalculatingAveragesFori.testSimpleArrayAverageForI,779370.4978328805,1024,0.81885689779838,0.9579169793529615,2351.715919727963,0.023298426421316423,0.5413085213820482,1.4175891210430829,1043.125971548479,0.09843721805635393,0.0027918663572627034,0.07056132956765146,0.05673890445426939,
com.bhf.averages.CalculatingAveragesFori.testSimpleArrayAverageForI,381265.47800151474,2048,6.070286076019622,12.269375412669543,4905.971417151805,0.09793747549971289,9.648260641371452,12.850525029120174,2068.330329735276,0.3083701175615514,0.01745330164392983,7.8419669239912455,3.6235237716454316,
com.bhf.averages.CalculatingAveragesFori.testSimpleArrayAverageForI,184886.25007744328,4096,20.392216065690477,306.11080421077537,10165.936853726023,0.45365532958263494,35.01098359178669,186.4671416478363,4134.5723689576935,17.640524812341773,0.025709193563118807,19.8998150238497,16.239029882935164,
com.bhf.averages.CalculatingAveragesApache.testApacheFirstMoment,8.422384859765257E7,4,0.012955329379997204,0.016177215351149552,0.8877073027349935,3.348899222115824E-4,0.009758246412419817,0.013685681185773535,25.08994073969574,5.904136891597554E-4,7.011100841335112E-5,0.007586818374400337,0.009255454202894394,
com.bhf.averages.CalculatingAveragesApache.testApacheFirstMoment,5.6437970628693536E7,8,0.011736006046283914,0.012150274188932752,2.063625441004465,4.866278454473319E-4,0.01936375274714692,0.012377326893560877,35.0958871079436,7.213196651651526E-4,1.51253004754747E-5,0.009258251881087316,0.0025323242741236464,
com.bhf.averages.CalculatingAveragesApache.testApacheFirstMoment,2.998871580969553E7,16,0.05613377994402173,0.06390806363486268,17.200758506312976,0.0012138821644218612,0.05887854335883944,0.057039937680203316,44.16704533989487,0.0021481555297081945,2.5236470649558744E-4,0.04263586580785956,0.04237630920990638,
com.bhf.averages.CalculatingAveragesApache.testApacheFirstMoment,1.6627413659600547E7,32,0.02648920097138811,0.06300841273007901,52.889991337383286,9.029236123946107E-4,0.05114936779426397,0.03406593581197669,64.21561719707954,0.0022475155805293306,4.119377915807799E-5,0.02324561359723652,0.022816025416161716,
